Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Category One Defects,Category Two Defects
7.25,7.42,7.42,7.5,7.42,7.42,10,10,10,7.42,0,81.83,0,0
7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,81.83,0,4
7.5,7.5,7.42,7.33,7.33,7.33,10,10,10,7.42,0,81.83,0,2
7.42,7.5,7.58,7.33,7.33,7.25,10,10,10,7.33,0,81.75,0,0
7.33,7.5,7.33,7.42,7.42,7.42,10,10,10,7.33,0,81.75,0,0
7.58,7.42,7.25,7.25,7.5,7.33,10,10,10,7.33,0,81.67,2,2
7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,81.58,0,4
7.42,7.5,7.33,7.33,7.33,7.33,10,10,10,7.33,0,81.58,0,0
7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,81.5,0,0
7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,0,81.42,2,1
7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,81.33,0,5
7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,81.17,0,0
7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,81.17,0,2
7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,81,0,1
7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83,0,7
7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,80.5,0,3
7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,80.42,0,5
7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,80.42,0,3
7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,80.33,0,11
7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33,0,7
7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,80.17,0,2
7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08,0,4
7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,80,0,12
7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,79.67,0,11
6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,0,78.08,0,13
7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,0,78,0,1
